trial_number,seed,wall_time_s,accuracy,inference_ms,param_count,arch_type,num_conv_layers,num_channels,num_fc_units,learning_rate,batch_size,num_epochs,dropout_rate,optimizer_type,input_resolution
175,217,14.413,0.723200,0.230753,8218,plain,2,8,256,0.001875802558238156,64,5,0.3362454049708012,SGD,28
176,218,27.279,0.898000,0.994214,26330,plain,4,8,256,0.004074763249750693,64,8,0.47324653413686657,SGD,28
177,219,14.722,0.730700,0.162805,7114,plain,1,16,256,0.005280286468272175,64,6,0.10021054263117918,SGD,16
178,220,18.812,0.591200,0.137595,2538,plain,1,8,128,0.0021879598349164447,64,8,0.3672532541604969,SGD,28
179,221,28.266,0.897400,1.323201,258762,plain,4,32,128,0.003797722902115489,64,8,0.44547750940751235,SGD,16
180,222,12.613,0.899300,1.359467,18074,plain,4,8,64,0.005596479535846681,256,10,0.0824721183269396,SGD,28
181,223,19.954,0.737400,0.164205,7114,plain,1,16,256,0.002000098726109178,64,8,0.046291214391153745,Adam,16
182,224,17.548,0.726700,0.125133,4970,plain,1,8,256,0.0025823454922647214,64,7,0.1893074702117237,Adam,16
183,225,11.795,0.886200,1.255026,79786,plain,4,16,256,0.006306523105257695,256,8,0.19921385818606155,SGD,16
184,226,11.508,0.912100,1.398933,258762,plain,4,32,128,0.005982111278219139,256,9,0.3427520817772765,SGD,28
185,227,17.895,0.586500,0.174072,3658,plain,1,16,128,0.00023043598993130682,64,7,0.4867846434487408,Adam,28
186,228,18.182,0.898100,1.895147,70186,plain,4,16,128,0.0018155926407808394,128,9,0.3713859108661179,Adam,16
187,229,20.805,0.775100,0.230474,3034,plain,2,8,64,0.00043804546781538536,64,7,0.05347758869712588,Adam,28
188,230,12.804,0.898900,1.189443,18074,plain,4,8,64,0.0019831077880015082,256,10,0.4968856046074284,Adam,28
189,231,8.912,0.901200,1.354640,18074,plain,4,8,64,0.005886848806360674,256,7,0.19122906013709223,Adam,28
190,232,17.900,0.914100,1.835136,70186,plain,4,16,128,0.0018722766259585317,128,9,0.1843976457444529,Adam,28
191,233,7.579,0.728200,0.168038,7114,plain,1,16,256,0.006461673646087202,256,5,0.43188610382478543,Adam,16
192,234,24.120,0.904000,1.239491,70186,plain,4,16,128,0.0013639202664740746,64,7,0.4041257360321509,SGD,28
193,235,24.708,0.836600,0.420086,7658,plain,2,16,64,0.005606742377885576,64,8,0.47583609601594257,Adam,28
194,236,14.030,0.775200,0.168691,11402,plain,1,32,256,0.005489067867489496,128,9,0.3297113173459509,Adam,16
195,237,12.454,0.692800,0.155727,4970,plain,1,8,256,0.0030880792200754805,64,5,0.33612004651990585,Adam,16
196,238,8.546,0.606600,0.148226,7114,plain,1,16,256,0.0038148370333225177,128,6,0.4694047795941627,SGD,28
197,239,23.675,0.869900,1.130978,23818,plain,2,32,64,0.005237466708215717,64,8,0.30167757499002557,Adam,28
198,240,7.900,0.803300,0.395788,15914,plain,2,16,256,0.0016911267714678697,128,5,0.021920532038053664,Adam,28
199,241,12.357,0.584700,0.161862,1322,plain,1,8,64,0.004398052443757783,256,10,0.1847029211686469,SGD,28
